,SnO2/Pt sensor,,,,SnO2/Ag sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,G1-1,G1-2,G1-3,G1-4,G2-1,G2-2,G2-3,G2-4,Conc,Gas,Split,Split0,Split1,Split10,Split11,Split12,Split13,Split20,Split21,Split22,Split23,Split30,Split31,Split32,Split33,Split34,Split35,Split36,Split40,Split41,Split42,Split43
52,9.14,13.71,12.37,25.05,4.59,3.12,3.49,1.75,300,NH3,Ex,Tr,Tr,Ex,Ex,Ex,Ex,V,V,V,V,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
53,9.09,13.7,12,24.9,4.66,3.08,3.49,1.79,300,NH3,Ex,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
54,9.09,13.69,12.16,24.9,4.67,3.09,3.48,1.78,300,NH3,Ex,In,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
55,2.65,2.69,1.65,1.03,1.69,2.01,1.33,1,10,H2,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
56,2.65,2.69,1.66,1,1.71,2.01,1.33,1,10,H2,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
57,2.6,2.69,1.65,1,1.71,2.01,1.33,1,10,H2,V,In,V,V,V,V,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
58,4.21,3.48,2.03,1.15,1.75,2.05,1.33,1.06,30,H2,In,Tr,In,In,In,In,In,V,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
59,4.22,3.5,2.06,1.15,1.75,2.05,1.33,1.05,30,H2,In,Tr,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
60,4.2,3.5,2.06,1.17,1.75,2.05,1.33,1.06,30,H2,In,In,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
61,5.35,4.31,2.39,1.25,1.71,2.05,1.33,1.1,50,H2,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
62,5.33,4.25,2.41,1.25,1.71,2.07,1.3,1.08,50,H2,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
63,5.34,4.31,2.41,1.25,1.75,2.05,1.28,1.08,50,H2,V,In,V,V,V,V,V,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
64,7.65,6.12,3.29,1.42,1.82,2.08,1.28,1.16,100,H2,In,Tr,In,In,In,In,Tr,V,In,V,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
65,7.6,6.12,3.29,1.33,1.82,2.09,1.3,1.14,100,H2,In,Tr,In,In,In,In,Tr,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
66,7.6,6.18,3.29,1.33,1.82,2.09,1.32,1.15,100,H2,In,In,In,In,In,In,V,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
67,11.3,7.87,4.18,1.5,2,2.16,1.33,1.18,150,H2,Tr,Tr,Tr,Tr,In,Tr,In,In,V,In,V,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Tr
68,11.25,7.94,4.18,1.58,2,2.16,1.33,1.18,150,H2,Tr,Tr,Tr,Tr,In,Tr,In,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Tr
69,11.2,7.81,4.21,1.5,2.04,2.17,1.33,1.19,150,H2,V,In,V,V,In,V,In,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Tr
70,14.95,8.87,4.82,1.67,2.11,2.27,1.33,1.24,200,H2,In,Tr,In,In,Tr,In,Tr,V,In,V,In,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
71,14.9,8.75,4.76,1.67,2.11,2.26,1.33,1.23,200,H2,In,Tr,In,In,Tr,In,Tr,Tr,In,Tr,In,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
